ln_kingdom;ln_phylum;ln_class;ln_order;ln_family;ln_genus;ln_species;TaxonId;sulfur;sulphur;nitrogen;ammoni;nitrite;nitrate;b12;cobal;iron;ferr;phosp;nitric;hydroxy;nitro;HNSm-1;HNSm-2;HNSm-3;HNS+s-1;HNS+s-2;HNS+s-3;BF-1;BF-2;BF-3;BF+s-1;BF+s-2;BF+s-3;Probio+s-1;Probio+s-2;Probio+s-3;Probio+BF-1;Probio+BF-2;Probio+BF-3;soil-1;soil-2;soil-3;HNS+Bf bassin;HNS bassin;BF;HNS;RAS;Soil;WS
Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified Crenarchaeota;unclassified Crenarchaeota;unclassified Crenarchaeota;Crenarchaeote enrichment;1;718;7;75;135;63;132;105;543;758;1576;8228;34;1212;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified Crenarchaeota;unclassified Crenarchaeota;unclassified Crenarchaeota;crenarchaeote enrichment;1;718;7;75;135;63;132;105;543;758;1576;8228;34;1212;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;Methanobacterium lacus;6;46;0;22;4;1;0;5;17;53;47;170;3;9;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina thermophila;6;67;0;26;4;0;6;8;52;74;77;397;0;30;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;unclassified Methanomassiliicoccus;5;9;0;5;1;0;4;3;21;27;28;124;1;13;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Archaea;Thaumarchaeota;unclassified Thaumarchaeota;unclassified Thaumarchaeota;unclassified Thaumarchaeota;Candidatus Nitrosotalea;unclassified Candidatus Nitrosotalea;5;12;0;4;7;1;0;2;10;10;6;126;0;16;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidipila;unclassified Acidipila;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;Acidobacterium capsulatum;6;17;0;3;9;3;1;0;1;15;8;175;0;20;13;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;11;0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium;unclassified Acidobacterium;5;17;0;3;9;3;1;0;1;15;8;175;0;20;13;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;10;0;5;9;50;1;71;134;146
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter;unclassified Candidatus Koribacter;5;19;0;6;7;2;1;2;1;15;32;256;2;31;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;40
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella mallensis;6;16;0;3;5;1;1;5;13;16;15;233;0;29;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;Granulicella tundricola;6;16;0;1;3;2;0;0;5;18;7;225;0;21;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Granulicella;unclassified Granulicella;5;47;0;6;13;4;2;7;19;46;28;668;0;78;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;23
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Terriglobus;unclassified Terriglobus;5;48;0;7;14;9;5;8;12;47;26;741;0;97;18;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;34;86
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;unclassified Acidobacteriaceae;unclassified Acidobacteriaceae;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;8
Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;unclassified Acidobacteriales;unclassified Acidobacteriales;unclassified Acidobacteriales;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;3;3
Bacteria;Acidobacteria;Blastocatellia;unclassified Blastocatellia;unclassified Blastocatellia;Chloracidobacterium;Chloracidobacterium thermophilum;6;7;0;3;3;2;1;1;10;8;14;224;2;34;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix;unclassified Geothrix;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga;unclassified Holophaga;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;4;2;0;1;0;0;1;0;64;270
Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae;Candidatus Solibacter;unclassified Candidatus Solibacter;5;24;0;8;10;3;2;9;9;28;43;279;2;40;8;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;63;210
